2024-06-03 21:19:31.986461: {'Large_Marble': 'Maximum Violet', 'Bag_of_Marbles': ['Russian Green', 'Orange Peel', 'Orange Soda', 'Rose Quartz', 'Ivory', 'Russian Green', 'Indigo']}
2024-06-03 21:19:32.059631: {'Large_Marble': 'Mimi Pink', 'Bag_of_Marbles': ['Candy Pink', 'Rose Quartz', 'Purple', 'Mulberry', 'Russian Violet', 'Light Orchid', 'Light Orange']}
2024-06-03 21:19:32.132566: {'Large_Marble': 'Fiery Rose', 'Bag_of_Marbles': ['Purple', 'Bistre Brown', 'Pale Goldenrod', 'Mango Tango', 'Platinum', 'Middle Green', 'Sheen Green']}
2024-06-03 21:19:32.204500: {'Large_Marble': 'Black Coral', 'Bag_of_Marbles': ['Terra Cotta', 'Shandy', 'Beaver', 'Blue-Green', 'Cobalt Blue', 'Mint Cream', 'Royal Orange']}
2024-06-03 21:19:32.277256: {'Large_Marble': 'Safety Yellow', 'Bag_of_Marbles': ['Middle Green Yellow', 'Dark Fuchsia', 'Sage', 'Neon Dark Green', 'Pale Plum', 'Russian Green', 'Silver Chalice']}
2024-06-03 21:19:32.350374: {'Large_Marble': 'Neon Silver', 'Bag_of_Marbles': ['Lavender Purple', 'Gold', 'Granny Smith Apple', 'Ruby', 'Gold', 'Icterine', 'Blue Bell']}
2024-06-03 21:19:32.423283: {'Large_Marble': 'Silver Pink', 'Bag_of_Marbles': ['Lilac Luster', 'Cobalt Blue', 'Brown', 'Spanish Orange', 'Spanish Pink', 'Mango Tango', 'Mint Green']}
2024-06-03 21:19:32.496157: {'Large_Marble': 'Pastel Blue', 'Bag_of_Marbles': ['Brown', 'Brown', 'Brink Pink', 'Green', 'La Salle Green', 'Platinum', 'Gold']}
2024-06-03 21:19:32.570027: {'Large_Marble': 'Middle Green', 'Bag_of_Marbles': ['Maximum Blue', 'Duke Blue', 'Arylide Yellow', 'Maximum Blue', 'Pale Cerulean', 'Mint Cream', 'Blue Bell']}
2024-06-03 21:19:32.643313: {'Large_Marble': 'Outrageous Orange', 'Bag_of_Marbles': ['Cobalt Blue', 'Lemon Lime', 'Pale Taupe', 'Thulian Pink', 'Blue Bell', 'Beaver', 'Auburn']}
2024-06-03 21:19:32.716565: {'Large_Marble': 'Lavender Blue', 'Bag_of_Marbles': ['Duke Blue', 'Lumber', 'Light Orchid', 'Middle Red Purple', 'Mint Green', 'Spanish Carmine', 'Liver Chestnut']}
2024-06-03 21:19:32.789851: {'Large_Marble': 'Middle Red Purple', 'Bag_of_Marbles': ['Blue Bell', 'Orange Soda', 'Gold', 'Middle Green Yellow', 'Beaver', 'Sage', 'Mint Cream']}
2024-06-03 21:19:32.862345: {'Large_Marble': 'Fiery Rose', 'Bag_of_Marbles': ['Icterine', 'Maximum Purple', 'Pale Taupe', 'Fiery Rose', 'Big Dip O’ruby', 'Honeydew', 'Pale Goldenrod']}
2024-06-03 21:19:32.934578: {'Large_Marble': 'Lumber', 'Bag_of_Marbles': ['Orange Soda', 'Antique Bronze', 'Silver Pink', 'Neon Dark Green', 'Ivory', 'Russian Green', 'Maximum Violet']}
2024-06-03 21:19:33.007380: {'Large_Marble': 'Dark Fuchsia', 'Bag_of_Marbles': ['Sage', 'Auburn', 'Granny Smith Apple', 'Chinese Red', 'Spanish Orange', 'Mimi Pink', 'Neon Pink']}
2024-06-03 21:19:33.081265: {'Large_Marble': 'Purple Plum', 'Bag_of_Marbles': ['Candy Pink', 'Pale Goldenrod', 'Spanish Pink', 'Bistre Brown', 'Middle Green', 'Chinese Red', 'White Smoke']}
2024-06-03 21:19:33.155756: {'Large_Marble': 'Dark Moss Green', 'Bag_of_Marbles': ['Orange Peel', 'Black Coral', 'Isabelline', 'Almond', 'Stop Red', 'Arylide Yellow', 'Almond']}
2024-06-03 21:19:33.229042: {'Large_Marble': 'Thulian Pink', 'Bag_of_Marbles': ['Silver Chalice', 'Arylide Yellow', 'Brown', 'Royal Red', 'Maximum Purple', 'Purple', 'Pastel Gray']}
2024-06-03 21:19:33.301735: {'Large_Marble': 'La Salle Green', 'Bag_of_Marbles': ['Emerald', 'Mango Tango', 'Thulian Pink', 'Neon Silver', 'Middle Red Purple', 'La Salle Green', 'Pale Cerulean']}
2024-06-03 21:19:33.374355: {'Large_Marble': 'Tuscan Brown', 'Bag_of_Marbles': ['Beaver', 'Orange Soda', 'Brown', 'Gold', 'Blue Bell', 'Gold', 'Indigo']}
